bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | hemmaglutinin-esterase [Bovine coronavirus], 653
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | spike structural protein [Bovine coronavirus], 3255
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | 4.9 kDa non-structural protein [Bovine coronavirus], 747
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | 4.8 kDa non-structural protein [Bovine coronavirus], 699
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | 12.7 kDa non-structural protein [Bovine coronavirus], 530
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | small membrane protein [Bovine coronavirus], 586
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | matrix protein [Bovine coronavirus], 403
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | nucleocapsid protein [Bovine coronavirus], 709
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | internal protein [Bovine coronavirus], 425
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | orf1ab polyprotein [Bovine coronavirus], 20445
bcov | 32 kDa non-structural protein [Bovine coronavirus], bcov | orf1a polyprotein [Bovine coronavirus], 12312
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | surface glycoprotein [Human coronavirus 229E], 2685
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | 4a protein [Human coronavirus 229E], 491
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | 4b protein [Human coronavirus 229E], 579
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | envelope protein [Human coronavirus 229E], 607
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | membrane protein [Human coronavirus 229E], 418
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | nucleocapsid protein [Human coronavirus 229E], 589
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1ab [Human coronavirus 229E], 19437
bcov | 32 kDa non-structural protein [Bovine coronavirus], human229e | replicase polyprotein 1a [Human coronavirus 229E], 11418
bcov | 32 kDa non-structural protein [Bovine coronavirus], humanoc43 | ns2 [Human coronavirus OC43], 46
